country,Country name,,,,,,,,
iso3,ISO 3166-1 alpha-3 code,,,,,,,,
year,"Year of death (""2020-2021"" includes: average values of 2020 and 2021 for ""pop.e5"" and ""excess.mean"", person-years-weighed uncertainty for ""excess.low"" and ""excess.high"")",,,,,,,,
pop.e5,"Population (in 100,000)",,,,,,,,
excess.mean,"Excess deaths associated with COVID-19 pandemic from all-causes per 100,000 (mean)",,,,,,,,
excess.low,"Excess deaths associated with COVID-19 pandemic from all-causes per 100,000 (lower 95% confidence interval)",,,,,,,,
excess.high,"Excess deaths associated with COVID-19 pandemic from all-causes per 100,000 (higher 95% confidence interval)",,,,,,,,
,,,,,,,,,
Country,iso3,year,pop.e5,excess.mean,excess.low,excess.high,,,
Chad,TCD,2020-2021,166.7,58,5,113,,,
Chile,CHL,2020,191.2,76,71,81,,,
Chile,CHL,2021,192.1,126,120,131,,,
Chile,CHL,2020-2021,191.6,101,97,105,,,
China,CHN,2020,14474.7,-5,-6,-5,,,
China,CHN,2021,14524.3,2,1,3,,,
China,CHN,2020-2021,14499.5,-2,-2,-1,,,
Colombia,COL,2020,508.8,106,103,109,,,
Colombia,COL,2021,512.7,216,213,219,,,
Colombia,COL,2020-2021,510.7,161,159,163,,,
Comoros,COM,2020,8.7,18,-28,65,,,
Comoros,COM,2021,8.9,64,15,118,,,
Comoros,COM,2020-2021,8.8,41,8,76,,,
Congo,COG,2020,55.2,24,-22,74,,,
Congo,COG,2021,56.6,56,4,115,,,
Congo,COG,2020-2021,55.9,41,5,80,,,
Cook Islands,COK,2020,0.2,-108,-257,62,,,
Cook Islands,COK,2021,0.2,-96,-255,72,,,
Cook Islands,COK,2020-2021,0.2,-102,-214,6,,,
Costa Rica,CRI,2020,50.9,27,19,34,,,
Costa Rica,CRI,2021,51.4,161,96,232,,,
Costa Rica,CRI,2020-2021,51.2,94,61,131,,,
Côte d'Ivoire,CIV,2020,263.8,30,-26,89,,,
Côte d'Ivoire,CIV,2021,270.5,65,5,124,,,
Côte d'Ivoire,CIV,2020-2021,267.2,48,7,91,,,
Croatia,HRV,2020,41.1,134,112,154,,,
Croatia,HRV,2021,40.8,286,263,309,,,
Croatia,HRV,2020-2021,40.9,210,194,224,,,
Cuba,CUB,2020,113.3,-2,-15,10,,,
Cuba,CUB,2021,113.2,163,53,282,,,
Cuba,CUB,2020-2021,113.2,80,25,141,,,
Cyprus,CYP,2020,12.1,16,4,28,,,
Cyprus,CYP,2021,12.2,67,51,82,,,
Cyprus,CYP,2020-2021,12.1,42,31,51,,,
Czechia,CZE,2020,107.1,126,111,140,,,
Czechia,CZE,2021,107.2,220,203,239,,,
Czechia,CZE,2020-2021,107.2,173,161,185,,,
Democratic People's Republic of Korea,PRK,2020,257.8,-22,-92,54,,,
Democratic People's Republic of Korea,PRK,2021,258.9,-6,-85,80,,,
Democratic People's Republic of Korea,PRK,2020-2021,258.3,-14,-69,44,,,
Democratic Republic of the Congo,COD,2020,895.6,42,-18,105,,,
Democratic Republic of the Congo,COD,2021,923.8,87,22,156,,,
Democratic Republic of the Congo,COD,2020-2021,909.7,65,16,112,,,
Denmark,DNK,2020,57.9,8,-3,18,,,
Denmark,DNK,2021,58.1,56,41,72,,,
Denmark,DNK,2020-2021,58.0,32,22,41,,,
Djibouti,DJI,2020,9.9,71,12,138,,,
Djibouti,DJI,2021,10.0,106,44,175,,,
Djibouti,DJI,2020-2021,10.0,89,44,136,,,
Dominica,DMA,2020,0.7,-76,-181,30,,,
Dominica,DMA,2021,0.7,96,-26,218,,,
Dominica,DMA,2020-2021,0.7,10,-68,94,,,
Dominican Republic,DOM,2020,108.5,10,-19,43,,,
Dominican Republic,DOM,2021,109.5,99,34,170,,,
Dominican Republic,DOM,2020-2021,109.0,54,17,94,,,
Ecuador,ECU,2020,176.4,263,256,269,,,
Ecuador,ECU,2021,178.9,193,183,203,,,
Ecuador,ECU,2020-2021,177.7,228,222,234,,,
Egypt,EGY,2020,1023.3,89,77,100,,,
Egypt,EGY,2021,1042.6,154,130,180,,,
Egypt,EGY,2020-2021,1033.0,122,108,136,,,
El Salvador,SLV,2020,64.9,116,74,164,,,
El Salvador,SLV,2021,65.2,146,56,252,,,
El Salvador,SLV,2020-2021,65.0,131,75,194,,,
Equatorial Guinea,GNQ,2020,14.0,50,-11,116,,,
Equatorial Guinea,GNQ,2021,14.5,71,10,133,,,
Equatorial Guinea,GNQ,2020-2021,14.3,60,16,106,,,
Eritrea,ERI,2020,35.5,8,-50,65,,,
Eritrea,ERI,2021,36.0,59,-5,122,,,
Eritrea,ERI,2020-2021,35.7,34,-9,76,,,
Estonia,EST,2020,13.3,23,5,39,,,
Estonia,EST,2021,13.3,232,210,254,,,
Estonia,EST,2020-2021,13.3,127,114,141,,,
Eswatini,SWZ,2020,11.6,79,-7,163,,,
Eswatini,SWZ,2021,11.7,248,154,350,,,
Eswatini,SWZ,2020-2021,11.7,164,98,231,,,
Ethiopia,ETH,2020,1149.6,24,-20,67,,,
Ethiopia,ETH,2021,1178.8,65,19,107,,,
Ethiopia,ETH,2020-2021,1164.2,44,12,76,,,
Fiji,FJI,2020,9.0,-87,-146,-25,,,
Fiji,FJI,2021,9.0,74,-3,154,,,
Fiji,FJI,2020-2021,9.0,-6,-55,45,,,
Finland,FIN,2020,55.4,13,3,24,,,
Finland,FIN,2021,55.5,38,26,49,,,
Finland,FIN,2020-2021,55.4,26,18,33,,,
France,FRA,2020,652.7,75,64,86,,,
France,FRA,2021,654.3,50,37,63,,,
France,FRA,2020-2021,653.5,63,53,71,,,
Gabon,GAB,2020,22.3,12,-38,66,,,
Gabon,GAB,2021,22.8,58,7,111,,,
Gabon,GAB,2020-2021,22.5,36,0,71,,,
Gambia,GMB,2020,24.2,41,-6,94,,,
Gambia,GMB,2021,24.9,77,26,131,,,
Gambia,GMB,2020-2021,24.5,59,23,97,,,
Georgia,GEO,2020,39.9,140,119,159,,,
Georgia,GEO,2021,39.8,475,352,621,,,
Georgia,GEO,2020-2021,39.8,307,246,380,,,
Germany,DEU,2020,837.8,80,57,101,,,
Germany,DEU,2021,839.0,153,120,185,,,
Germany,DEU,2020-2021,838.4,116,96,137,,,
Ghana,GHA,2020,310.7,21,-28,68,,,
Ghana,GHA,2021,317.3,46,-2,93,,,
Ghana,GHA,2020-2021,314.0,33,0,66,,,
Greece,GRC,2020,104.2,39,21,56,,,
Greece,GRC,2021,103.7,148,128,169,,,
Greece,GRC,2020-2021,104.0,93,80,106,,,
Grenada,GRD,2020,1.1,-225,-246,-207,,,
Grenada,GRD,2021,1.1,-12,-240,259,,,
Grenada,GRD,2020-2021,1.1,-118,-235,22,,,
Guatemala,GTM,2020,179.2,49,45,53,,,
Guatemala,GTM,2021,182.5,223,217,228,,,
Guatemala,GTM,2020-2021,180.8,137,133,140,,,
Guinea,GIN,2020,131.3,30,-35,98,,,
Guinea,GIN,2021,135.0,64,-2,131,,,
Guinea,GIN,2020-2021,133.2,47,0,97,,,
Guinea-Bissau,GNB,2020,19.7,56,-10,128,,,
Guinea-Bissau,GNB,2021,20.2,86,20,153,,,
Guinea-Bissau,GNB,2020-2021,19.9,71,20,120,,,
Guyana,GUY,2020,7.9,50,-33,137,,,
Guyana,GUY,2021,7.9,306,193,420,,,
Guyana,GUY,2020-2021,7.9,178,108,251,,,
Haiti,HTI,2020,114.0,25,-131,176,,,
Haiti,HTI,2021,115.4,58,-119,240,,,
Haiti,HTI,2020-2021,114.7,42,-80,159,,,
Honduras,HND,2020,99.0,74,24,123,,,
Honduras,HND,2021,100.6,153,92,214,,,
Honduras,HND,2020-2021,99.8,113,74,154,,,
Hungary,HUN,2020,96.6,115,95,136,,,
Hungary,HUN,2021,96.3,264,240,286,,,
Hungary,HUN,2020-2021,96.5,189,174,204,,,
Iceland,ISL,2020,3.4,-1,-11,9,,,
Iceland,ISL,2021,3.4,-2,-15,11,,,
Iceland,ISL,2020-2021,3.4,-2,-9,7,,,
India,IND,2020,13800.0,60,28,95,,,
India,IND,2021,13934.1,280,192,395,,,
India,IND,2020-2021,13867.1,171,119,234,,,
Indonesia,IDN,2020,2735.2,131,74,190,,,
Indonesia,IDN,2021,2763.6,243,183,303,,,
Indonesia,IDN,2020-2021,2749.4,187,137,234,,,
Iran (Islamic Republic of),IRN,2020,839.9,130,124,135,,,
Iran (Islamic Republic of),IRN,2021,850.3,145,137,152,,,
Iran (Islamic Republic of),IRN,2020-2021,845.1,137,133,142,,,
Iraq,IRQ,2020,402.2,100,93,107,,,
Iraq,IRQ,2021,411.8,64,21,114,,,
Iraq,IRQ,2020-2021,407.0,82,60,106,,,
Ireland,IRL,2020,49.4,9,-1,17,,,
Ireland,IRL,2021,49.8,50,40,60,,,
Ireland,IRL,2020-2021,49.6,29,23,36,,,
Israel,ISR,2020,86.6,28,21,35,,,
Israel,ISR,2021,87.9,43,34,51,,,
Israel,ISR,2020-2021,87.2,35,30,40,,,
Italy,ITA,2020,604.6,166,150,183,,,
Italy,ITA,2021,603.7,100,81,120,,,
Italy,ITA,2020-2021,604.1,133,121,146,,,
Jamaica,JAM,2020,29.6,-30,-46,-12,,,
Jamaica,JAM,2021,29.7,151,72,241,,,
Jamaica,JAM,2020-2021,29.7,61,19,108,,,
Japan,JPN,2020,1264.8,-24,-32,-16,,,
Japan,JPN,2021,1260.5,8,-1,18,,,
Japan,JPN,2020-2021,1262.6,-8,-14,-2,,,
Jordan,JOR,2020,102.0,36,30,41,,,
Jordan,JOR,2021,102.7,81,44,120,,,
Jordan,JOR,2020-2021,102.4,58,40,78,,,
Kazakhstan,KAZ,2020,187.8,152,144,160,,,
Kazakhstan,KAZ,2021,189.9,251,241,261,,,
Kazakhstan,KAZ,2020-2021,188.9,202,195,208,,,
Kenya,KEN,2020,537.7,-23,-24,-22,,,
Kenya,KEN,2021,549.9,45,44,47,,,
Kenya,KEN,2020-2021,543.8,11,10,12,,,
Kiribati,KIR,2020,1.2,-26,-131,85,,,
Kiribati,KIR,2021,1.2,-12,-115,96,,,
Kiribati,KIR,2020-2021,1.2,-19,-96,63,,,
Kuwait,KWT,2020,42.7,74,71,77,,,
Kuwait,KWT,2021,43.3,25,-2,52,,,
Kuwait,KWT,2020-2021,43.0,49,36,63,,,
Kyrgyzstan,KGZ,2020,65.2,102,95,109,,,
Kyrgyzstan,KGZ,2021,66.3,85,75,96,,,
Kyrgyzstan,KGZ,2020-2021,65.8,94,87,100,,,
Lao People's Democratic Republic,LAO,2020,72.8,-4,-46,43,,,
Lao People's Democratic Republic,LAO,2021,73.8,28,-16,77,,,
Lao People's Democratic Republic,LAO,2020-2021,73.3,12,-20,47,,,
Latvia,LVA,2020,18.9,52,29,74,,,
Latvia,LVA,2021,18.7,358,329,386,,,
Latvia,LVA,2020-2021,18.8,204,186,223,,,
Lebanon,LBN,2020,68.3,50,38,62,,,
Lebanon,LBN,2021,67.7,223,207,237,,,
Lebanon,LBN,2020-2021,68.0,136,127,146,,,
Lesotho,LSO,2020,21.4,9,-110,137,,,
Lesotho,LSO,2021,21.6,175,35,325,,,
Lesotho,LSO,2020-2021,21.5,93,0,188,,,
Liberia,LBR,2020,50.6,27,-36,89,,,
Liberia,LBR,2021,51.8,52,-10,123,,,
Liberia,LBR,2020-2021,51.2,39,-4,87,,,
Libya,LBY,2020,68.7,27,-6,63,,,
Libya,LBY,2021,69.6,86,44,127,,,
Libya,LBY,2020-2021,69.1,57,31,83,,,
Lithuania,LTU,2020,27.2,244,226,264,,,
Lithuania,LTU,2021,26.9,394,373,416,,,
Lithuania,LTU,2020-2021,27.1,319,304,335,,,
Luxembourg,LUX,2020,6.3,24,12,36,,,
Luxembourg,LUX,2021,6.3,-13,-28,1,,,
Luxembourg,LUX,2020-2021,6.3,6,-4,15,,,
Madagascar,MDG,2020,276.9,29,-21,85,,,
Madagascar,MDG,2021,284.3,62,9,118,,,
Madagascar,MDG,2020-2021,280.6,46,6,90,,,
Malawi,MWI,2020,191.3,16,-25,61,,,
Malawi,MWI,2021,196.5,71,29,119,,,
Malawi,MWI,2020-2021,193.9,44,12,77,,,
Malaysia,MYS,2020,323.7,-47,-51,-42,,,
Malaysia,MYS,2021,327.8,69,39,101,,,
Malaysia,MYS,2020-2021,325.7,12,-4,28,,,
Maldives,MDV,2020,5.4,1,-6,6,,,
Maldives,MDV,2021,5.4,45,18,76,,,
Maldives,MDV,2020-2021,5.4,23,9,38,,,
Mali,MLI,2020,202.5,62,-2,129,,,
Mali,MLI,2021,208.6,71,11,135,,,
Mali,MLI,2020-2021,205.5,66,23,112,,,
Malta,MLT,2020,4.4,60,42,79,,,
Malta,MLT,2021,4.4,48,26,70,,,
Malta,MLT,2020-2021,4.4,54,39,68,,,
Marshall Islands,MHL,2020,0.6,-72,-149,13,,,
Marshall Islands,MHL,2021,0.6,-62,-140,25,,,
Marshall Islands,MHL,2020-2021,0.6,-67,-122,-4,,,
Mauritania,MRT,2020,46.5,64,16,117,,,
Mauritania,MRT,2021,47.8,83,32,134,,,
Mauritania,MRT,2020-2021,47.1,74,38,113,,,
Mauritius,MUS,2020,12.7,-37,-49,-25,,,
Mauritius,MUS,2021,12.7,111,97,125,,,
Mauritius,MUS,2020-2021,12.7,37,28,46,,,
Mexico,MEX,2020,1289.3,244,237,251,,,
Mexico,MEX,2021,1302.6,239,231,248,,,
Mexico,MEX,2020-2021,1296.0,242,236,247,,,
Micronesia (Federated States of),FSM,2020,1.2,-55,-138,39,,,
Micronesia (Federated States of),FSM,2021,1.2,-41,-130,50,,,
Micronesia (Federated States of),FSM,2020-2021,1.2,-48,-110,19,,,
Monaco,MCO,2020,0.4,26,-37,87,,,
Monaco,MCO,2021,0.4,136,31,232,,,
Monaco,MCO,2020-2021,0.4,81,23,138,,,
Mongolia,MNG,2020,32.8,-73,-81,-65,,,
Mongolia,MNG,2021,33.3,72,62,82,,,
Mongolia,MNG,2020-2021,33.0,0,-6,6,,,
Montenegro,MNE,2020,6.3,139,112,165,,,
Montenegro,MNE,2021,6.3,484,410,571,,,
Montenegro,MNE,2020-2021,6.3,311,269,356,,,
Morocco,MAR,2020,369.1,41,-16,99,,,
Morocco,MAR,2021,373.4,53,-4,110,,,
Morocco,MAR,2020-2021,371.3,47,6,88,,,
Mozambique,MOZ,2020,312.6,18,-44,90,,,
Mozambique,MOZ,2021,321.6,115,36,193,,,
Mozambique,MOZ,2020-2021,317.1,67,19,123,,,
Myanmar,MMR,2020,544.1,1,-49,56,,,
Myanmar,MMR,2021,548.1,79,17,146,,,
Myanmar,MMR,2020-2021,546.1,40,0,80,,,
Namibia,NAM,2020,25.4,35,-18,93,,,
Namibia,NAM,2021,25.9,265,196,344,,,
Namibia,NAM,2020-2021,25.6,151,104,203,,,
Nauru,NRU,2020,0.1,-7,-148,152,,,
Nauru,NRU,2021,0.1,-6,-154,157,,,
Nauru,NRU,2020-2021,0.1,-7,-114,95,,,
Nepal,NPL,2020,291.4,27,-15,75,,,
Nepal,NPL,2021,296.7,83,31,138,,,
Nepal,NPL,2020-2021,294.1,55,21,92,,,
Netherlands,NLD,2020,171.3,85,73,95,,,
Netherlands,NLD,2021,171.7,86,73,98,,,
Netherlands,NLD,2020-2021,171.5,85,77,93,,,
New Zealand,NZL,2020,48.2,-43,-50,-36,,,
New Zealand,NZL,2021,48.6,-13,-20,-5,,,
New Zealand,NZL,2020-2021,48.4,-28,-33,-23,,,
Nicaragua,NIC,2020,66.2,138,113,169,,,
Nicaragua,NIC,2021,67.0,44,-8,98,,,
Nicaragua,NIC,2020-2021,66.6,91,61,124,,,
Niger,NER,2020,242.1,66,1,129,,,
Niger,NER,2021,251.3,73,14,137,,,
Niger,NER,2020-2021,246.7,70,21,117,,,
Nigeria,NGA,2020,2061.4,29,-37,93,,,
Nigeria,NGA,2021,2114.0,60,-6,128,,,
Nigeria,NGA,2020-2021,2087.7,45,-2,94,,,
Niue,NIU,2020,0.0,-155,-603,353,,,
Niue,NIU,2021,0.0,-153,-626,340,,,
Niue,NIU,2020-2021,0.0,-154,-468,203,,,
North Macedonia,MKD,2020,20.8,274,252,295,,,
North Macedonia,MKD,2021,20.8,463,437,488,,,
North Macedonia,MKD,2020-2021,20.8,369,351,385,,,
Norway,NOR,2020,54.2,-11,-18,-4,,,
Norway,NOR,2021,54.7,9,0,17,,,
Norway,NOR,2020-2021,54.4,-1,-6,5,,,
Oman,OMN,2020,51.1,81,74,87,,,
Oman,OMN,2021,52.2,141,133,149,,,
Oman,OMN,2020-2021,51.6,111,106,116,,,
Pakistan,PAK,2020,2208.9,42,-16,105,,,
Pakistan,PAK,2021,2252.0,61,3,123,,,
Pakistan,PAK,2020-2021,2230.5,52,10,96,,,
Palau,PLW,2020,0.2,-109,-274,69,,,
Palau,PLW,2021,0.2,-114,-290,59,,,
Palau,PLW,2020-2021,0.2,-111,-231,18,,,
Panama,PAN,2020,43.1,69,64,74,,,
Panama,PAN,2021,43.8,106,89,125,,,
Panama,PAN,2020-2021,43.5,88,79,98,,,
Papua New Guinea,PNG,2020,89.5,-20,-70,31,,,
Papua New Guinea,PNG,2021,91.2,28,-21,83,,,
Papua New Guinea,PNG,2020-2021,90.3,4,-32,44,,,
Paraguay,PRY,2020,71.3,34,26,42,,,
Paraguay,PRY,2021,72.2,241,230,252,,,
Paraguay,PRY,2020-2021,71.8,138,132,144,,,
Peru,PER,2020,329.7,406,398,413,,,
Peru,PER,2021,333.6,467,457,477,,,
Peru,PER,2020-2021,331.7,437,431,442,,,
Philippines,PHL,2020,1095.8,-37,-41,-32,,,
Philippines,PHL,2021,1110.5,203,185,223,,,
Philippines,PHL,2020-2021,1103.1,84,75,94,,,
Poland,POL,2020,378.5,160,148,173,,,
Poland,POL,2021,378.0,256,241,271,,,
Poland,POL,2020-2021,378.2,208,198,217,,,
Portugal,PRT,2020,102.0,97,75,118,,,
Portugal,PRT,2021,101.7,104,81,127,,,
Portugal,PRT,2020-2021,101.8,100,84,116,,,
Qatar,QAT,2020,28.8,25,23,27,,,
Qatar,QAT,2021,29.3,28,25,31,,,
Qatar,QAT,2020-2021,29.1,26,25,28,,,
Republic of Korea,KOR,2020,512.7,0,-6,7,,,
Republic of Korea,KOR,2021,513.1,12,4,19,,,
Republic of Korea,KOR,2020-2021,512.9,6,1,11,,,
Republic of Moldova,MDA,2020,40.3,126,106,146,,,
Republic of Moldova,MDA,2021,40.2,325,301,348,,,
Republic of Moldova,MDA,2020-2021,40.3,225,211,241,,,
Romania,ROU,2020,192.4,182,163,200,,,
Romania,ROU,2021,191.3,376,354,398,,,
Romania,ROU,2020-2021,191.8,279,264,292,,,
Russian Federation,RUS,2020,1459.3,253,241,265,,,
Russian Federation,RUS,2021,1459.1,482,469,496,,,
Russian Federation,RUS,2020-2021,1459.2,367,359,377,,,
Rwanda,RWA,2020,129.5,-3,-40,36,,,
Rwanda,RWA,2021,132.8,43,3,88,,,
Rwanda,RWA,2020-2021,131.1,21,-6,50,,,
Saint Kitts and Nevis,KNA,2020,0.5,-246,-285,-206,,,
Saint Kitts and Nevis,KNA,2021,0.5,-143,-460,295,,,
Saint Kitts and Nevis,KNA,2020-2021,0.5,-194,-353,23,,,
Saint Lucia,LCA,2020,1.8,-60,-139,15,,,
Saint Lucia,LCA,2021,1.8,260,158,362,,,
Saint Lucia,LCA,2020-2021,1.8,101,36,165,,,
Saint Vincent and the Grenadines,VCT,2020,1.1,96,80,111,,,
Saint Vincent and the Grenadines,VCT,2021,1.1,347,48,715,,,
Saint Vincent and the Grenadines,VCT,2020-2021,1.1,222,71,405,,,
Samoa,WSM,2020,2.0,-28,-85,30,,,
Samoa,WSM,2021,2.0,-16,-69,45,,,
Samoa,WSM,2020-2021,2.0,-22,-62,18,,,
San Marino,SMR,2020,0.3,326,288,362,,,
San Marino,SMR,2021,0.3,177,130,224,,,
San Marino,SMR,2020-2021,0.3,251,221,280,,,
Sao Tome and Principe,STP,2020,2.2,32,-14,78,,,
Sao Tome and Principe,STP,2021,2.2,54,6,105,,,
Sao Tome and Principe,STP,2020-2021,2.2,43,10,78,,,
Saudi Arabia,SAU,2020,348.1,36,-1,72,,,
Saudi Arabia,SAU,2021,353.4,14,-20,48,,,
Saudi Arabia,SAU,2020-2021,350.8,25,-1,51,,,
Senegal,SEN,2020,167.4,29,-9,71,,,
Senegal,SEN,2021,172.0,68,26,111,,,
Senegal,SEN,2020-2021,169.7,49,20,79,,,
Serbia,SRB,2020,87.4,197,174,219,,,
Serbia,SRB,2021,87.0,442,418,468,,,
Serbia,SRB,2020-2021,87.2,319,302,336,,,
Seychelles,SYC,2020,1.0,-176,-196,-155,,,
Seychelles,SYC,2021,1.0,182,58,317,,,
Seychelles,SYC,2020-2021,1.0,4,-58,70,,,
Sierra Leone,SLE,2020,79.8,45,-21,117,,,
Sierra Leone,SLE,2021,81.4,53,-13,126,,,
Sierra Leone,SLE,2020-2021,80.6,49,3,98,,,
Singapore,SGP,2020,58.5,-1,-5,4,,,
Singapore,SGP,2021,59.0,26,19,32,,,
Singapore,SGP,2020-2021,58.7,13,9,16,,,
Slovakia,SVK,2020,54.6,100,86,114,,,
Slovakia,SVK,2021,54.6,345,330,361,,,
Slovakia,SVK,2020-2021,54.6,223,212,233,,,
Slovenia,SVN,2020,20.8,161,143,178,,,
Slovenia,SVN,2021,20.8,108,83,132,,,
Slovenia,SVN,2020-2021,20.8,134,119,150,,,
Solomon Islands,SLB,2020,6.9,-10,-68,46,,,
